                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1543,                    1.9,                0.76124,                 6.2495,                 2.4269,                0.22752,                0.05556,                0.04424,                0.01256,                0.16377,                0.12341,                0.10188,                0.08349,                 2.7159,                0.97248,                0.73205,                  2.933,                 2.1761,                0.00018,                0.00018,                0.00018
                      2,                 2.6577,                 1.2964,                0.70819,                 3.0145,                 1.9811,                0.18431,                0.34734,                0.14907,                0.04166,                 0.3866,                0.44444,                0.37998,                0.32777,                 2.3714,                0.95593,                0.72402,                 2.5166,                 1.9144,             0.00037875,             0.00037875,             0.00037875
                      3,                 2.5809,                 0.8147,                0.62389,                   2.34,                  1.897,                 0.3593,                0.37037,                0.24159,                  0.103,                0.42535,                    0.5,                0.47202,                0.40367,                 2.3145,                0.75013,                0.68938,                 2.0364,                 2.0151,             0.00057617,             0.00057617,             0.00057617
                      4,                 2.3487,                0.69253,                0.53973,                  1.958,                 1.7267,                0.37381,                0.47541,                 0.3508,                0.13554,                0.46805,                0.59259,                0.51242,                0.44262,                 2.2256,                0.62325,                 0.6242,                 2.2079,                 1.9226,             0.00077228,             0.00077228,             0.00077228
                      5,                 2.3923,                0.57789,                0.47756,                 1.9091,                 1.7024,                0.25872,                0.31481,                0.23826,                0.09698,                 0.3806,                0.40968,                0.41379,                0.35976,                 2.6393,                0.58017,                0.57304,                  2.829,                 2.2455,             0.00096706,             0.00096706,             0.00096706
                      6,                 2.1825,                0.63214,                0.37785,                 1.8377,                 1.5283,                0.50554,                0.40741,                0.44391,                0.18696,                0.52799,                0.58007,                0.60282,                0.54119,                 2.1815,                0.49481,                 0.4296,                 1.7841,                 1.8989,              0.0011605,              0.0011605,              0.0011605
                      7,                 2.1369,                0.54164,                0.33972,                 1.6738,                 1.5802,                0.47448,                0.31481,                0.37753,                0.17223,                0.55214,                0.40741,                0.47842,                0.42188,                 2.3537,                0.55901,                0.41471,                 2.2761,                 2.0097,              0.0013527,              0.0013527,              0.0013527
                      8,                 2.0846,                0.48346,                 0.2881,                 1.6373,                 1.5202,                 0.5987,                0.40741,                0.44426,                 0.1794,                0.62074,                0.54567,                0.59358,                0.53062,                 2.2316,                0.50771,                0.32237,                 1.9605,                 2.0019,              0.0015435,              0.0015435,              0.0015435
                      9,                 2.2978,                0.47735,                0.26402,                 1.7381,                 1.6225,                0.51427,                0.35294,                0.39245,                0.12892,                0.59664,                0.64815,                 0.6142,                0.52257,                 2.3093,                0.52793,                0.21772,                 2.1081,                 2.0072,               0.001733,               0.001733,               0.001733
                     10,                 2.1724,                0.42001,                0.22916,                 1.7446,                 1.6598,                 0.5174,                0.55556,                0.52062,                0.22844,                0.58864,                0.62963,                0.64766,                0.56578,                 2.0756,                0.49721,                 0.1576,                 1.8373,                 1.8543,              0.0019212,              0.0019212,              0.0019212
                     11,                 2.0393,                0.45476,                0.21978,                 1.5552,                 1.5323,                0.36831,                0.41034,                0.38523,                0.16575,                0.50734,                0.57407,                0.57573,                0.49399,                 2.5063,                0.57995,                0.21737,                 2.2934,                 2.1338,               0.001934,               0.001934,               0.001934
                     12,                 1.9696,                0.45383,                0.21745,                 1.4838,                 1.4733,                0.65203,                0.38889,                0.45887,                0.17707,                0.72737,                0.44466,                0.56004,                0.48656,                 2.2882,                0.78357,                0.28494,                  2.323,                 1.8557,               0.001934,               0.001934,               0.001934
                     13,                 2.0207,                0.39584,                0.20285,                 1.5037,                 1.4772,                0.51538,                0.46296,                0.45948,                0.16272,                0.61782,                 0.5988,                0.58188,                0.50752,                 2.5019,                0.68152,                0.20541,                 1.9948,                 2.0181,              0.0019274,              0.0019274,              0.0019274
                     14,                 1.9065,                0.46244,                0.16128,                 1.3795,                  1.398,                 0.6902,                0.48148,                0.56383,                 0.2285,                0.65332,                0.55556,                0.67565,                 0.5956,                 1.8731,                 0.3998,                0.04705,                 2.0402,                  1.522,              0.0019208,              0.0019208,              0.0019208
                     15,                 1.9252,                0.46433,                0.17233,                 1.4354,                  1.486,                0.84776,                0.61111,                0.74159,                0.36118,                0.75448,                0.74074,                0.81434,                0.71903,                 1.7796,                0.40607,                0.03796,                 1.7546,                  1.493,              0.0019142,              0.0019142,              0.0019142
                     16,                  1.937,                0.43425,                0.14467,                 1.3246,                 1.4546,                0.72939,                0.72222,                0.76043,                0.30898,                0.75547,                0.74074,                0.83664,                0.72431,                  1.903,                0.42708,                0.02466,                 1.9668,                 1.6538,              0.0019076,              0.0019076,              0.0019076
                     17,                 1.8305,                0.38351,                0.14634,                 1.3539,                 1.4128,                0.80124,                0.74074,                0.81002,                0.35834,                0.85177,                 0.7963,                0.86083,                 0.7672,                 1.8357,                0.35946,                0.03396,                 1.4101,                 1.5088,               0.001901,               0.001901,               0.001901
                     18,                 1.8126,                 0.4262,                0.15287,                 1.3629,                  1.407,                0.75799,                0.63813,                0.67054,                0.30645,                 0.8455,                0.70949,                0.79527,                0.70318,                 1.8598,                0.43045,                0.03163,                 1.4492,                 1.5624,              0.0018944,              0.0018944,              0.0018944
                     19,                 1.8108,                0.40657,                0.19117,                 1.3682,                 1.5005,                0.67499,                0.64815,                0.67672,                0.32252,                0.73861,                0.73269,                0.78793,                0.68881,                 1.9513,                0.40214,                0.02578,                 1.4518,                 1.5951,              0.0018878,              0.0018878,              0.0018878
                     20,                 1.7602,                0.42327,                0.10644,                 1.1465,                 1.3533,                0.68804,                0.64815,                0.68817,                0.30718,                0.80108,                0.74074,                0.84392,                0.75366,                 1.9954,                 0.3863,                0.02518,                  1.458,                 1.6019,              0.0018812,              0.0018812,              0.0018812
